danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.762,0.677,4,-6.714,0,0.0746,0.188,4.76e-05,0.073,0.579,137.023,audio_features,0vwVGoBPYRRBnw2z8Nyssi,spotify:track:0vwVGoBPYRRBnw2z8Nyssi,https://api.spotify.com/v1/tracks/0vwVGoBPYRRBnw2z8Nyssi,https://api.spotify.com/v1/audio-analysis/0vwVGoBPYRRBnw2z8Nyssi,226841,4,RUN (with GRAY),Lee Jin Ah
0.597,0.458,3,-8.295,1,0.0609,0.809,0,0.105,0.184,90.15,audio_features,0PkpRtJqrwuXhbdtJuQm7E,spotify:track:0PkpRtJqrwuXhbdtJuQm7E,https://api.spotify.com/v1/tracks/0PkpRtJqrwuXhbdtJuQm7E,https://api.spotify.com/v1/audio-analysis/0PkpRtJqrwuXhbdtJuQm7E,239003,4,Photograph,offonoff
0.529,0.555,3,-4.72,1,0.0288,0.332,0,0.129,0.28,83.982,audio_features,7Mfb2IwRNP8Qi7Ojtpmi37,spotify:track:7Mfb2IwRNP8Qi7Ojtpmi37,https://api.spotify.com/v1/tracks/7Mfb2IwRNP8Qi7Ojtpmi37,https://api.spotify.com/v1/audio-analysis/7Mfb2IwRNP8Qi7Ojtpmi37,239097,4,Perhaps Love,Eric Nam
0.816,0.842,8,-1.164,0,0.115,0.509,7.94e-06,0.0534,0.625,152.991,audio_features,5bMHrigI1EAmZdiyRzKoQi,spotify:track:5bMHrigI1EAmZdiyRzKoQi,https://api.spotify.com/v1/tracks/5bMHrigI1EAmZdiyRzKoQi,https://api.spotify.com/v1/audio-analysis/5bMHrigI1EAmZdiyRzKoQi,191200,4,ICONIC,aespa
0.842,0.798,1,-3.54,1,0.135,0.478,0,0.116,0.861,108.055,audio_features,6oAd7vjQSvS3Z3S5VxQQ03,spotify:track:6oAd7vjQSvS3Z3S5VxQQ03,https://api.spotify.com/v1/tracks/6oAd7vjQSvS3Z3S5VxQQ03,https://api.spotify.com/v1/audio-analysis/6oAd7vjQSvS3Z3S5VxQQ03,202000,4,굽 (feat. Loco),NO:EL
0.673,0.27,1,-6.901,1,0.0394,0.764,0,0.109,0.492,75.49,audio_features,23PyDwW8pLgDsjpyFdjYgj,spotify:track:23PyDwW8pLgDsjpyFdjYgj,https://api.spotify.com/v1/tracks/23PyDwW8pLgDsjpyFdjYgj,https://api.spotify.com/v1/audio-analysis/23PyDwW8pLgDsjpyFdjYgj,193000,4,It′s You,Colde
0.664,0.666,8,-2.203,1,0.0446,0.193,0,0.0854,0.405,139.987,audio_features,3CYH422oy1cZNoo0GTG1TK,spotify:track:3CYH422oy1cZNoo0GTG1TK,https://api.spotify.com/v1/tracks/3CYH422oy1cZNoo0GTG1TK,https://api.spotify.com/v1/audio-analysis/3CYH422oy1cZNoo0GTG1TK,210560,4,Psycho,Red Velvet
0.667,0.233,9,-11.862,1,0.0302,0.928,2.69e-05,0.154,0.131,101.865,audio_features,2XdyebP7KxClMOse2C5iyA,spotify:track:2XdyebP7KxClMOse2C5iyA,https://api.spotify.com/v1/tracks/2XdyebP7KxClMOse2C5iyA,https://api.spotify.com/v1/audio-analysis/2XdyebP7KxClMOse2C5iyA,270003,4,Your Dog Loves You,Colde
0.802,0.934,9,-3.216,0,0.0604,0.0609,0,0.0158,0.941,150.036,audio_features,70EfheCNy3zOrcT2meMQ1g,spotify:track:70EfheCNy3zOrcT2meMQ1g,https://api.spotify.com/v1/tracks/70EfheCNy3zOrcT2meMQ1g,https://api.spotify.com/v1/audio-analysis/70EfheCNy3zOrcT2meMQ1g,204973,4,Take It,IVE
0.874,0.787,10,-2.416,0,0.129,0.118,0,0.11,0.896,108.007,audio_features,1iIhGHzzrzqQfuNkFI2qAn,spotify:track:1iIhGHzzrzqQfuNkFI2qAn,https://api.spotify.com/v1/tracks/1iIhGHzzrzqQfuNkFI2qAn,https://api.spotify.com/v1/audio-analysis/1iIhGHzzrzqQfuNkFI2qAn,227227,4,Any song,ZICO
