id,title,artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5xv9DhjYckZoZwXifGrkQw,I'm In Love,Colde,0.614,0.333,10,-8.883,1,0.645,0.0,0.0819,0.661,140.059,197000,4
3QdjLOemIcMZovVOnvJP7P,Just A Little Bit,ENHYPEN,0.441,0.59,0,-5.615,1,0.242,0.0,0.349,0.411,84.633,167821,4
4EMAaWwu2zXTkXIA6YPKkt,Hi High,LOONA,0.671,0.918,7,-2.267,0,0.0349,9.59e-06,0.215,0.543,97.005,196801,4
2wVDWtLKXunswWecARNILj,SOLO,JENNIE,0.751,0.642,3,-5.165,0,0.0861,0.0,0.0953,0.388,95.045,169567,4
2ujA6F1cpk3m8lsPE5aKua,The Eve,EXO,0.636,0.702,0,-5.352,0,0.0223,0.0,0.293,0.516,135.104,176026,4
5SE57ljOIUJ1ybL9U6CuBH,DNA,BTS,0.598,0.775,1,-4.035,0,0.022,0.0,0.0677,0.687,129.819,223123,4
3Ys2PYl1wyPKQIwyqhP9cQ,Stay Gold,BTS,0.723,0.634,1,-5.415,1,0.0892,0.0,0.0787,0.582,129.017,243267,4
2tdq0CeAGSfhI2l4Gwkvgx,Best Of Me,BTS,0.651,0.756,8,-4.388,1,0.0298,0.0,0.396,0.473,121.96,227191,4
22ryCgQttpV7oCrn7llGRu,Magic Shop,BTS,0.541,0.661,1,-5.838,1,0.103,0.0,0.0779,0.285,149.926,275696,4
6rcn967QN5JtkPOBDwYIuT,BOOM,NCT DREAM,0.914,0.516,5,-4.178,0,0.131,0.0,0.0441,0.702,119.969,195080,4
6sohnLuyLeUYSg1pW5SqHm,WANNABE,ITZY,0.809,0.911,6,-4.41,0,0.00795,0.000179,0.181,0.64,122.035,191242,4
6SSC9KZQaxBdyipKRigrFC,Heart Attack (츄),LOONA,0.663,0.857,7,-3.457,1,0.0524,0.0,0.591,0.75,99.014,194941,4
6wNKKoUQfLPmch7cqSFytV,Butterfly,LOONA,0.582,0.849,7,-4.153,0,0.034,0.000138,0.119,0.355,107.004,237707,4
